model,layer,score
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.0.2,-0.4643
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.1.conv1,0.8214
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.1.conv1,0.5000
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.1.conv2,1.2500
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.1.conv2,-0.8214
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.1.bn1,-0.3929
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.1.bn1,3.6071
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.1.bn2,0.0714
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.1.bn2,-2.6429
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.2.conv1,2.0000
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.2.conv1,0.4286
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.2.conv2,-0.3571
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.2.conv2,-0.2500
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.2.bn1,0.7500
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.2.bn1,-1.8214
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.2.bn2,-0.7857
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.2.bn2,-2.1071
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.3.conv1,-0.8929
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.3.conv1,-1.4286
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.3.conv2,0.6071
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.3.conv2,3.0000
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.3.bn1,-1.0000
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.3.bn1,0.0357
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.3.bn2,1.6071
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.3.bn2,1.6071
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.4.conv1,1.0714
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.4.conv1,1.3571
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.4.conv2,-0.4643
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.4.conv2,-1.2500
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.4.bn1,-0.9286
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.4.bn1,0.8214
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.3.4.bn2,1.5357
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.3.4.bn2,1.0357
CHRESMAX_V3_2,model_backbone.c2b_seq.0,-0.6071
CHRESMAX_V3_2_ABS,model_backbone.c2b_score.pool1,1.8571
CHRESMAX_V3_2_ABS,model_backbone.c2b_score.pool2,FAILED
CHRESMAX_V3_2,model_backbone.c2b_seq.1,0.8214
CHRESMAX_V3_2_ABS,model_backbone.c2b_score.scoring_conv.pool,-0.7143
CHRESMAX_V3_2_ABS,model_backbone.c2b_score.scoring_conv.fc,FAILED
CHRESMAX_V3_2,model_backbone.c2b_seq.2,0.8214
CHRESMAX_V3_2,model_backbone.c2b_seq.3,2.6071
CHRESMAX_V3_2_ABS,model_backbone.c2b_score.resizing_layers.0,1.2857
CHRESMAX_V3_2,model_backbone.c2b_score.pool1,-0.4286
CHRESMAX_V3_2,model_backbone.c2b_score.pool2,FAILED
CHRESMAX_V3_2_ABS,model_backbone.c2b_score.resizing_layers.1,1.2857
CHRESMAX_V3_2,model_backbone.c2b_score.scoring_conv.pool,-0.1429
CHRESMAX_V3_2,model_backbone.c2b_score.scoring_conv.fc,FAILED
CHRESMAX_V3_2_ABS,model_backbone.c2b_score.resizing_layers.2,0.2857
CHRESMAX_V3_2,model_backbone.c2b_score.resizing_layers.0,-0.2500
CHRESMAX_V3_2_ABS,model_backbone.c2b_score.resizing_layers.3,0.2857
CHRESMAX_V3_2,model_backbone.c2b_score.resizing_layers.1,-0.2500
CHRESMAX_V3_2_ABS,model_backbone.c2b_seq.0,0.7500
CHRESMAX_V3_2,model_backbone.c2b_score.resizing_layers.2,-2.9286
CHRESMAX_V3_2_ABS,model_backbone.c2b_seq.1,-0.7857
CHRESMAX_V3_2,model_backbone.c2b_score.resizing_layers.3,-2.9286
CHRESMAX_V3_2_ABS,model_backbone.c2b_seq.2,-0.7857
CHRESMAX_V3_2,model_backbone.s3.layer.0.conv1,2.5000
CHRESMAX_V3_2_ABS,model_backbone.c2b_seq.3,-1.6786
CHRESMAX_V3_2,model_backbone.s3.layer.0.conv2,2.7143
CHRESMAX_V3_2_ABS,model_backbone.s3.0.conv1,2.3214
CHRESMAX_V3_2,model_backbone.s3.layer.0.bn1,2.2500
CHRESMAX_V3_2_ABS,model_backbone.s3.0.conv2,3.0714
CHRESMAX_V3_2,model_backbone.s3.layer.0.bn2,3.6786
CHRESMAX_V3_2_ABS,model_backbone.s3.0.bn1,0.9286
CHRESMAX_V3_2,model_backbone.s3.layer.1.conv1,1.3571
CHRESMAX_V3_2,model_backbone.s3.layer.1.conv2,-0.5357
CHRESMAX_V3_2_ABS,model_backbone.s3.0.bn2,-0.0357
CHRESMAX_V3_2,model_backbone.s3.layer.1.conv3,3.2500
CHRESMAX_V3_2_ABS,model_backbone.s3.1.conv1,1.2857
CHRESMAX_V3_2,model_backbone.s3.layer.1.bn1,2.1429
CHRESMAX_V3_2_ABS,model_backbone.s3.1.conv2,-0.6071
CHRESMAX_V3_2,model_backbone.s3.layer.1.bn2,-0.3214
CHRESMAX_V3_2_ABS,model_backbone.s3.1.conv3,-1.0357
CHRESMAX_V3_2,model_backbone.s3.layer.2.conv1,-1.4286
CHRESMAX_V3_2_ABS,model_backbone.s3.1.bn1,-2.2500
CHRESMAX_V3_2,model_backbone.s3.layer.2.conv2,-1.0357
CHRESMAX_V3_2_ABS,model_backbone.s3.1.bn2,-0.1429
CHRESMAX_V3_2,model_backbone.s3.layer.2.bn1,0.6071
CHRESMAX_V3_2_ABS,model_backbone.s3.2.conv1,-0.6429
CHRESMAX_V3_2,model_backbone.s3.layer.2.bn2,-0.7143
CHRESMAX_V3_2_ABS,model_backbone.s3.2.conv2,-1.3929
CHRESMAX_V3_2,model_backbone.s3.layer.3.conv1,-3.2143
CHRESMAX_V3_2_ABS,model_backbone.s3.2.bn1,-1.1429
CHRESMAX_V3_2,model_backbone.s3.layer.3.conv2,-0.5357
CHRESMAX_V3_2,model_backbone.s3.layer.3.conv3,2.1071
CHRESMAX_V3_2_ABS,model_backbone.s3.2.bn2,-0.4643
CHRESMAX_V3_2,model_backbone.s3.layer.3.bn1,-1.8929
CHRESMAX_V3_2_ABS,model_backbone.s3.3.conv1,1.2857
CHRESMAX_V3_2,model_backbone.s3.layer.3.bn2,-0.0357
CHRESMAX_V3_2_ABS,model_backbone.s3.3.conv2,-0.5357
CHRESMAX_V3_2,model_backbone.global_pool.pool1,0.4643
CHRESMAX_V3_2,model_backbone.global_pool.pool2,FAILED
CHRESMAX_V3_2,model_backbone.fc.0,FAILED
CHRESMAX_V3_2,model_backbone.fc.1,FAILED
CHRESMAX_V3_2,model_backbone.fc.2,FAILED
CHRESMAX_V3_2,model_backbone.fc1.0,FAILED
CHRESMAX_V3_2,model_backbone.fc1.1,FAILED
CHRESMAX_V3_2,model_backbone.fc1.2,FAILED
CHRESMAX_V3_2,model_backbone.fc2.0,FAILED
CHRESMAX_V3_2_ABS,model_backbone.s3.3.conv3,-1.2857
CHRESMAX_V3_2_ABS,model_backbone.s3.3.bn1,-0.3571
CHRESMAX_V3_2_ABS,model_backbone.s3.3.bn2,-1.2143
CHRESMAX_V3_2_ABS,model_backbone.global_pool.pool1,-2.0357
CHRESMAX_V3_2_ABS,model_backbone.global_pool.pool2,FAILED
CHRESMAX_V3_2_ABS,model_backbone.fc.0,FAILED
CHRESMAX_V3_2_ABS,model_backbone.fc.1,FAILED
CHRESMAX_V3_2_ABS,model_backbone.fc.2,FAILED
CHRESMAX_V3_2_ABS,model_backbone.fc1.0,FAILED
CHRESMAX_V3_2_ABS,model_backbone.fc1.1,FAILED
CHRESMAX_V3_2_ABS,model_backbone.fc1.2,FAILED
CHRESMAX_V3_2_ABS,model_backbone.fc2.0,FAILED
