model,layer,score
CHRESMAX_V3_2_ABS,model_backbone.s1.1.conv2,-0.5714
RESNET50,layer1.1.conv3,0.6071
RESNET18-NO_AUG,layer2.0.downsample.1,-0.9286
RESNET18-AUG,layer2.0.conv2,-0.3929
RESNET50,layer1.1.bn3,-0.7500
RESNET18-NO_AUG,layer2.1.conv1,0.7500
RESNET18-AUG,layer2.0.bn2,1.9643
RESNET18-NO_AUG,layer2.1.bn1,2.8929
RESNET18-AUG,layer2.0.act2,1.9643
RESNET50,layer1.1.relu,-0.7500
CHRESMAX_V3_2,model_backbone.s1.layer1.1.bn1,-0.6071
CHRESMAX_V3_2_ABS,model_backbone.s1.1.bn1,0.1429
RESNET18-NO_AUG,layer2.1.drop_block,2.8929
RESNET18-AUG,layer2.0.downsample.0,0.4643
RESNET50,layer1.2.conv1,-0.3214
RESNET18-NO_AUG,layer2.1.act1,2.8929
RESNET18-AUG,layer2.0.downsample.1,-1.2500
RESNET18-NO_AUG,layer2.1.aa,2.8929
RESNET50,layer1.2.bn1,-0.6429
RESNET18-AUG,layer2.1.conv1,0.0714
RESNET18-NO_AUG,layer2.1.conv2,2.5357
CHRESMAX_V3_2,model_backbone.s1.layer1.1.bn2,-0.5714
CHRESMAX_V3_2_ABS,model_backbone.s1.1.bn2,-0.3929
RESNET50,layer1.2.conv2,-4.2857
RESNET18-NO_AUG,layer2.1.bn2,-0.0000
RESNET18-AUG,layer2.1.bn1,1.5357
RESNET18-NO_AUG,layer2.1.act2,-0.0000
RESNET18-AUG,layer2.1.drop_block,1.5357
RESNET50,layer1.2.bn2,-1.2143
RESNET18-NO_AUG,layer3.0.conv1,2.0000
RESNET18-AUG,layer2.1.act1,1.5357
RESNET50,layer1.2.conv3,-0.2857
CHRESMAX_V3_2_ABS,model_backbone.s1.2.conv1,0.2143
CHRESMAX_V3_2,model_backbone.s1.layer1.2.conv1,0.8571
RESNET18-NO_AUG,layer3.0.bn1,-1.3214
RESNET18-AUG,layer2.1.aa,1.5357
RESNET18-NO_AUG,layer3.0.drop_block,-1.3214
RESNET50,layer1.2.bn3,-0.3214
RESNET18-AUG,layer2.1.conv2,2.0000
RESNET18-NO_AUG,layer3.0.act1,-1.3214
RESNET50,layer1.2.relu,-0.3214
RESNET18-NO_AUG,layer3.0.aa,-1.3214
RESNET18-AUG,layer2.1.bn2,1.1429
CHRESMAX_V3_2_ABS,model_backbone.s1.2.conv2,1.1071
CHRESMAX_V3_2,model_backbone.s1.layer1.2.conv2,-0.5000
RESNET18-NO_AUG,layer3.0.conv2,0.5714
RESNET18-AUG,layer2.1.act2,1.1429
RESNET50,layer2.0.conv1,1.0000
RESNET18-NO_AUG,layer3.0.bn2,-2.0714
RESNET18-AUG,layer3.0.conv1,-0.4286
RESNET50,layer2.0.bn1,-1.2143
RESNET18-NO_AUG,layer3.0.act2,-2.0714
RESNET18-AUG,layer3.0.bn1,-0.1786
RESNET18-NO_AUG,layer3.0.downsample.0,0.9286
CHRESMAX_V3_2,model_backbone.s1.layer1.2.conv3,0.5714
RESNET50,layer2.0.conv2,-0.7857
CHRESMAX_V3_2_ABS,model_backbone.s1.2.conv3,0.4286
RESNET18-AUG,layer3.0.drop_block,-0.1786
RESNET18-NO_AUG,layer3.0.downsample.1,0.4286
RESNET18-AUG,layer3.0.act1,-0.1786
RESNET50,layer2.0.bn2,-2.0000
RESNET18-NO_AUG,layer3.1.conv1,0.2500
RESNET18-AUG,layer3.0.aa,-0.1786
RESNET18-NO_AUG,layer3.1.bn1,-0.6429
RESNET50,layer2.0.conv3,-1.5357
CHRESMAX_V3_2,model_backbone.s1.layer1.2.bn1,0.0714
CHRESMAX_V3_2_ABS,model_backbone.s1.2.bn1,-1.0000
RESNET18-NO_AUG,layer3.1.drop_block,-0.6429
RESNET18-AUG,layer3.0.conv2,1.7857
RESNET50,layer2.0.bn3,-2.4286
RESNET18-NO_AUG,layer3.1.act1,-0.6429
RESNET18-AUG,layer3.0.bn2,2.6071
RESNET18-NO_AUG,layer3.1.aa,-0.6429
RESNET50,layer2.0.relu,-2.4286
RESNET18-AUG,layer3.0.act2,2.6071
RESNET18-NO_AUG,layer3.1.conv2,2.7857
CHRESMAX_V3_2_ABS,model_backbone.s1.2.bn2,0.3214
CHRESMAX_V3_2,model_backbone.s1.layer1.2.bn2,-0.4643
RESNET18-AUG,layer3.0.downsample.0,-4.1071
RESNET50,layer2.0.downsample.0,-1.6071
RESNET18-NO_AUG,layer3.1.bn2,0.9286
RESNET18-AUG,layer3.0.downsample.1,-0.2500
RESNET18-NO_AUG,layer3.1.act2,0.9286
RESNET50,layer2.0.downsample.1,-1.4286
RESNET18-NO_AUG,layer4.0.conv1,0.7143
RESNET18-AUG,layer3.1.conv1,0.8214
CHRESMAX_V3_2_ABS,model_backbone.abs_layer.0,0.3214
CHRESMAX_V3_2,model_backbone.c1.pool1,0.6429
RESNET50,layer2.1.conv1,-2.8929
RESNET18-NO_AUG,layer4.0.bn1,-0.5000
RESNET18-AUG,layer3.1.bn1,3.6786
RESNET18-NO_AUG,layer4.0.drop_block,-0.5000
RESNET50,layer2.1.bn1,-2.8929
RESNET18-AUG,layer3.1.drop_block,3.6786
RESNET18-NO_AUG,layer4.0.act1,-0.5000
RESNET18-AUG,layer3.1.act1,3.6786
RESNET50,layer2.1.conv2,-0.0000
RESNET18-NO_AUG,layer4.0.aa,-0.5000
CHRESMAX_V3_2_ABS,model_backbone.c1.pool1,0.5357
CHRESMAX_V3_2,model_backbone.c1.pool2,0.8571
RESNET18-AUG,layer3.1.aa,3.6786
RESNET18-NO_AUG,layer4.0.conv2,1.0714
RESNET50,layer2.1.bn2,2.3214
RESNET18-AUG,layer3.1.conv2,2.7500
RESNET18-NO_AUG,layer4.0.bn2,2.0357
RESNET50,layer2.1.conv3,-1.8929
RESNET18-NO_AUG,layer4.0.act2,2.0357
RESNET18-AUG,layer3.1.bn2,2.8214
CHRESMAX_V3_2_ABS,model_backbone.c1.pool2,0.4643
CHRESMAX_V3_2,model_backbone.c1.scoring_conv.pool,0.5714
CHRESMAX_V3_2,model_backbone.c1.scoring_conv.fc,FAILED
RESNET18-NO_AUG,layer4.0.downsample.0,-1.2143
RESNET50,layer2.1.bn3,-0.3214
RESNET18-AUG,layer3.1.act2,2.8214
RESNET18-NO_AUG,layer4.0.downsample.1,-3.5000
RESNET18-AUG,layer4.0.conv1,2.7500
RESNET50,layer2.1.relu,-0.3214
RESNET18-NO_AUG,layer4.1.conv1,-3.3571
RESNET18-AUG,layer4.0.bn1,1.3571
CHRESMAX_V3_2_ABS,model_backbone.c1.scoring_conv.pool,-0.7857
CHRESMAX_V3_2_ABS,model_backbone.c1.scoring_conv.fc,FAILED
RESNET18-NO_AUG,layer4.1.bn1,-1.6071
CHRESMAX_V3_2,model_backbone.c1.resizing_layers.0,0.8214
RESNET50,layer2.2.conv1,1.0000
RESNET18-AUG,layer4.0.drop_block,1.3571
RESNET18-NO_AUG,layer4.1.drop_block,-1.6071
RESNET50,layer2.2.bn1,0.6071
RESNET18-AUG,layer4.0.act1,1.3571
RESNET18-NO_AUG,layer4.1.act1,-1.6071
RESNET18-AUG,layer4.0.aa,1.3571
RESNET18-NO_AUG,layer4.1.aa,-1.6071
RESNET50,layer2.2.conv2,1.8214
CHRESMAX_V3_2_ABS,model_backbone.c1.resizing_layers.0,-3.7857
CHRESMAX_V3_2,model_backbone.c1.resizing_layers.1,0.8214
RESNET18-NO_AUG,layer4.1.conv2,-2.0714
RESNET18-AUG,layer4.0.conv2,0.8929
RESNET50,layer2.2.bn2,3.4286
RESNET18-NO_AUG,layer4.1.bn2,2.4286
RESNET18-AUG,layer4.0.bn2,0.6429
RESNET18-NO_AUG,layer4.1.act2,2.4286
RESNET50,layer2.2.conv3,3.5000
RESNET18-AUG,layer4.0.act2,0.6429
CHRESMAX_V3_2_ABS,model_backbone.c1.resizing_layers.1,-3.7857
CHRESMAX_V3_2,model_backbone.c1.resizing_layers.2,-1.5357
RESNET18-NO_AUG,global_pool.pool,0.0714
RESNET18-NO_AUG,global_pool.flatten,FAILED
RESNET18-NO_AUG,fc,FAILED
RESNET18-AUG,layer4.0.downsample.0,0.6071
RESNET50,layer2.2.bn3,3.5000
RESNET18-AUG,layer4.0.downsample.1,1.1071
RESNET50,layer2.2.relu,3.5000
RESNET18-AUG,layer4.1.conv1,-0.1786
CHRESMAX_V3_2_ABS,model_backbone.c1.resizing_layers.2,-0.1071
CHRESMAX_V3_2,model_backbone.c1.resizing_layers.3,-1.5357
RESNET50,layer2.3.conv1,0.8929
RESNET18-AUG,layer4.1.bn1,2.9643
RESNET18-AUG,layer4.1.drop_block,2.9643
RESNET50,layer2.3.bn1,2.0357
RESNET18-AUG,layer4.1.act1,2.9643
CHRESMAX_V3_2_ABS,model_backbone.c1.resizing_layers.3,-0.1071
CHRESMAX_V3_2,model_backbone.s2.layer.0.conv1,2.3571
RESNET50,layer2.3.conv2,2.8571
RESNET18-AUG,layer4.1.aa,2.9643
RESNET50,layer2.3.bn2,-0.4286
RESNET18-AUG,layer4.1.conv2,1.5357
RESNET18-AUG,layer4.1.bn2,1.2857
RESNET50,layer2.3.conv3,-1.1429
CHRESMAX_V3_2_ABS,model_backbone.s2.0.conv1,-2.3929
CHRESMAX_V3_2,model_backbone.s2.layer.0.conv2,-0.3929
RESNET18-AUG,layer4.1.act2,1.2857
RESNET50,layer2.3.bn3,3.2857
RESNET18-AUG,global_pool.pool,1.7500
RESNET18-AUG,global_pool.flatten,FAILED
RESNET18-AUG,fc,FAILED
RESNET50,layer2.3.relu,3.2857
CHRESMAX_V3_2_ABS,model_backbone.s2.0.conv2,1.3571
CHRESMAX_V3_2,model_backbone.s2.layer.0.conv3,-1.2143
RESNET50,layer3.0.conv1,2.1786
RESNET50,layer3.0.bn1,-0.6071
CHRESMAX_V3_2_ABS,model_backbone.s2.0.conv3,-1.0000
CHRESMAX_V3_2,model_backbone.s2.layer.0.bn1,-1.5357
RESNET50,layer3.0.conv2,-4.8214
RESNET50,layer3.0.bn2,-4.1071
CHRESMAX_V3_2_ABS,model_backbone.s2.0.bn1,0.5357
CHRESMAX_V3_2,model_backbone.s2.layer.0.bn2,2.0714
RESNET50,layer3.0.conv3,-0.2143
RESNET50,layer3.0.bn3,-0.8929
CHRESMAX_V3_2_ABS,model_backbone.s2.0.bn2,-0.5000
RESNET50,layer3.0.relu,-0.8929
CHRESMAX_V3_2,model_backbone.s2.layer.1.conv1,1.0000
RESNET50,layer3.0.downsample.0,1.3214
CHRESMAX_V3_2_ABS,model_backbone.s2.1.conv1,3.2857
RESNET50,layer3.0.downsample.1,0.2143
CHRESMAX_V3_2,model_backbone.s2.layer.1.conv2,0.3929
RESNET50,layer3.1.conv1,-0.1429
RESNET50,layer3.1.bn1,-0.8571
CHRESMAX_V3_2_ABS,model_backbone.s2.1.conv2,-2.3214
CHRESMAX_V3_2,model_backbone.s2.layer.1.conv3,-0.8214
RESNET50,layer3.1.conv2,3.9286
RESNET50,layer3.1.bn2,1.0000
CHRESMAX_V3_2_ABS,model_backbone.s2.1.conv3,-1.1786
CHRESMAX_V3_2,model_backbone.s2.layer.1.bn1,0.4286
RESNET50,layer3.1.conv3,-1.0357
RESNET50,layer3.1.bn3,-1.6429
CHRESMAX_V3_2_ABS,model_backbone.s2.1.bn1,1.3929
RESNET50,layer3.1.relu,-1.6429
CHRESMAX_V3_2,model_backbone.s2.layer.1.bn2,-0.0357
RESNET50,layer3.2.conv1,-1.6071
CHRESMAX_V3_2_ABS,model_backbone.s2.1.bn2,-1.1071
RESNET50,layer3.2.bn1,-3.6786
CHRESMAX_V3_2,model_backbone.c2.pool1,0.6071
RESNET50,layer3.2.conv2,3.7857
CHRESMAX_V3_2_ABS,model_backbone.c2.pool1,-0.0357
RESNET50,layer3.2.bn2,2.4286
CHRESMAX_V3_2,model_backbone.c2.pool2,-0.2500
RESNET50,layer3.2.conv3,0.8571
CHRESMAX_V3_2_ABS,model_backbone.c2.pool2,0.7143
RESNET50,layer3.2.bn3,-0.7143
CHRESMAX_V3_2,model_backbone.c2.scoring_conv.pool,-3.3214
CHRESMAX_V3_2,model_backbone.c2.scoring_conv.fc,FAILED
RESNET50,layer3.2.relu,-0.7143
CHRESMAX_V3_2_ABS,model_backbone.c2.scoring_conv.pool,0.7857
RESNET50,layer3.3.conv1,-0.6786
.c2.scoring_conv.fc,FAILED
CHRESMAX_V3_2,model_backbone.c2.resizing_layers.0,-0.2500
RESNET50,layer3.3.bn1,-0.3571
RESNET50,layer3.3.conv2,0.8929
CHRESMAX_V3_2_ABS,model_backbone.c2.resizing_layers.0,0.0357
CHRESMAX_V3_2,model_backbone.c2.resizing_layers.1,-0.2500
RESNET50,layer3.3.bn2,2.5000
RESNET50,layer3.3.conv3,1.7143
CHRESMAX_V3_2_ABS,model_backbone.c2.resizing_layers.1,0.0357
CHRESMAX_V3_2,model_backbone.c2.resizing_layers.2,3.7500
RESNET50,layer3.3.bn3,-0.6786
RESNET50,layer3.3.relu,-0.6786
CHRESMAX_V3_2_ABS,model_backbone.c2.resizing_layers.2,2.0357
CHRESMAX_V3_2,model_backbone.c2.resizing_layers.3,3.7500
RESNET50,layer3.4.conv1,0.7857
RESNET50,layer3.4.bn1,1.1429
CHRESMAX_V3_2_ABS,model_backbone.c2.resizing_layers.3,2.0357
RESNET50,layer3.4.conv2,-3.6071
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.0.0.0,-4.3214
RESNET50,layer3.4.bn2,0.0357
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.0.0.0,-3.5000
RESNET50,layer3.4.conv3,2.2500
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.0.0.1,-0.2857
RESNET50,layer3.4.bn3,0.7500
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.0.0.1,0.5000
RESNET50,layer3.4.relu,0.7500
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.0.0.2,-0.2857
RESNET50,layer3.5.conv1,1.3571
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.0.0.2,0.5000
RESNET50,layer3.5.bn1,1.6429
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.0.1.conv1,0.8929
RESNET50,layer3.5.conv2,-0.2857
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.0.1.conv1,3.8929
RESNET50,layer3.5.bn2,1.7500
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.0.1.conv2,-2.5000
RESNET50,layer3.5.conv3,2.4286
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.0.1.conv2,-0.9643
RESNET50,layer3.5.bn3,1.3571
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.0.1.bn1,2.2857
RESNET50,layer3.5.relu,1.3571
CHRESMAX_V3_2_ABS,model_backbone.s2b.s2b_seqs.0.1.bn1,1.3214
CHRESMAX_V3_2,model_backbone.s2b.s2b_seqs.0.1.bn2,-1.7857
RESNET50,layer4.0.conv1,2.7857
RESNET50,layer4.0.bn1,2.3571
